id,lat,lon,user,uid,version,changeset,timestamp
28828453,32.7642168,-117.2332461,KindredCoda,14293,4,551611,2008-07-20T10:38:50Z
31525714,32.7763321,-117.2370707,hfs,9607,5,13238022,2012-09-24T19:30:23Z
31526039,32.7764671,-117.2385936,hfs,9607,5,13238022,2012-09-24T19:30:23Z
31526286,32.7671109,-117.2345621,Apo42,25510,4,2422787,2009-09-09T09:38:23Z
31526436,32.7667251,-117.2311674,Apo42,25510,4,2422787,2009-09-09T09:38:51Z
31526650,32.7682942,-117.2351582,Brian@Brea,416346,5,22899144,2014-06-12T23:55:28Z
31527121,32.7602749,-117.2537261,OSMF Redaction Account,722137,4,12284421,2012-07-18T14:05:40Z
31527769,32.7779399,-117.2482128,OSMF Redaction Account,722137,6,12283344,2012-07-18T13:29:59Z
31528164,32.7663605,-117.2355160,Brian@Brea,416346,6,22899144,2014-06-12T23:55:29Z
31528497,32.7675406,-117.2324119,Apo42,25510,4,2422787,2009-09-09T09:38:53Z
31528802,32.7647075,-117.2390682,Apo42,25510,4,2422787,2009-09-09T09:38:22Z
31529563,32.7908508,-117.2283230,samely,2512300,5,30363370,2015-04-20T20:10:45Z
31529768,32.7648267,-117.2531738,OSMF Redaction Account,722137,4,12284421,2012-07-18T14:05:40Z
31529904,32.7786924,-117.2471338,OSMF Redaction Account,722137,5,12283344,2012-07-18T13:30:00Z
31530076,32.7671764,-117.2322902,Brian@Brea,416346,5,23200228,2014-06-26T19:16:15Z
31530246,32.7676128,-117.2286268,Apo42,25510,4,2422787,2009-09-09T09:38:41Z
31530375,32.8500409,-117.2699562,Nautic,449569,5,27387139,2014-12-10T21:46:43Z
48857474,32.8276060,-117.2239990,Sat,48060,3,8107292,2011-05-10T21:56:42Z
48858427,32.8411058,-117.1212707,SimMoonXP,3392,6,11220760,2012-04-08T04:44:11Z
48858442,32.8369054,-117.1209271,happy5214,199837,6,12449209,2012-07-23T11:50:45Z
48860927,32.7965725,-117.2211763,piligab,3877019,4,46685468,2017-03-08T16:42:07Z
48860952,32.8407467,-117.1225273,woodpeck_fixbot,147510,5,3428688,2009-12-22T17:00:47Z
48861005,32.7961438,-117.2217124,piligab,3877019,3,46685468,2017-03-08T16:42:07Z
48861019,32.7957143,-117.2241566,piligab,3877019,4,46685468,2017-03-08T16:42:07Z
48861030,32.7955163,-117.2272311,piligab,3877019,3,46685468,2017-03-08T16:42:07Z
48861040,32.7962160,-117.2253385,piligab,3877019,3,46685468,2017-03-08T16:42:07Z
48861546,32.8238057,-117.1156094,woodpeck_fixbot,147510,4,3428688,2009-12-22T17:01:26Z
48861556,32.8347665,-117.1187099,happy5214,199837,6,12449209,2012-07-23T11:50:46Z
48861751,32.8566980,-117.1161190,woodpeck_fixbot,147510,3,3428688,2009-12-22T17:01:35Z
48861762,32.8559259,-117.1189057,woodpeck_fixbot,147510,3,3428688,2009-12-22T17:01:36Z
48861999,32.8558034,-117.1201159,woodpeck_fixbot,147510,4,2534473,2009-09-19T14:05:26Z
48862295,33.1063885,-117.2763198,evil saltine,238349,5,7633065,2011-03-22T00:20:39Z
48863817,32.7999420,-117.0844120,woodpeck_fixbot,147510,2,3377160,2009-12-15T06:55:41Z
48863828,32.7988590,-117.0848010,woodpeck_fixbot,147510,2,3377160,2009-12-15T06:55:42Z
48863838,32.8011820,-117.0848460,woodpeck_fixbot,147510,2,3377160,2009-12-15T06:55:42Z
48863848,32.8020130,-117.0870670,woodpeck_fixbot,147510,2,3377160,2009-12-15T06:55:42Z
48863858,32.7996250,-117.0890200,woodpeck_fixbot,147510,2,3377160,2009-12-15T06:55:43Z
48866390,32.8275180,-117.2730790,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:03:49Z
48866712,32.7928960,-117.1716310,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:04Z
48866942,32.7689930,-117.2099110,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:15Z
48867425,32.7811160,-117.2099760,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:35Z
48867435,32.7813570,-117.2118530,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:35Z
48867590,32.7764760,-117.2412178,hfs,9607,3,13276268,2012-09-27T19:03:03Z
48867608,32.8935860,-117.1129030,Apo42,25510,3,1859978,2009-07-18T06:43:25Z
48867626,32.7768060,-117.2413330,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:44Z
48867637,32.7756000,-117.2410740,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:45Z
48867647,32.7751484,-117.2396906,hfs,9607,4,13277095,2012-09-27T19:59:18Z
48867657,32.7750590,-117.2416530,woodpeck_fixbot,147510,2,3428688,2009-12-22T17:04:45Z
48867925,32.8314331,-117.1425237,happy5214,199837,6,12447825,2012-07-23T10:08:58Z
48867939,32.8405034,-117.1357891,SimMoonXP,3392,5,11220760,2012-04-08T04:44:12Z
48867956,32.8350542,-117.1393556,woodpeck_fixbot,147510,5,3428688,2009-12-22T17:04:56Z
48868427,32.8900479,-117.2275488,woodpeck_fixbot,147510,4,3377160,2009-12-15T06:59:25Z
48869856,32.8313140,-117.2449570,woodpeck_fixbot,147510,2,3377160,2009-12-15T07:00:30Z
48871284,32.8635643,-117.2264732,Sat,48060,4,6833110,2011-01-01T22:08:00Z
48871294,32.8622515,-117.2255995,Sat,48060,3,3977724,2010-02-26T05:51:12Z
48874096,32.8406979,-117.1328749,SimMoonXP,3392,6,11220760,2012-04-08T04:44:09Z
48875179,32.8394810,-117.2351530,OSMF Redaction Account,722137,5,12283344,2012-07-18T13:30:03Z
48875215,32.8388779,-117.2338893,happy5214,199837,5,12319679,2012-07-19T10:52:17Z
