id,user,uid,version,changeset,timestamp
5938667,piligab,3877019,2,46685468,2017-03-08T16:42:09Z
5939112,DaveHansenTiger,7168,1,405748,2007-09-10T18:15:12Z
5939400,Sat,48060,3,7099435,2011-01-27T00:02:30Z
5939970,yurasi,3526564,7,41348608,2016-08-09T16:17:41Z
5940219,DaveHansenTiger,7168,1,406550,2007-09-10T19:01:08Z
5940550,stevea,123633,2,11279062,2012-04-12T17:47:06Z
5940956,calfarome,2511706,4,32458672,2015-07-06T20:52:09Z
5941680,lasagna,7572965,6,56591716,2018-02-22T20:52:56Z
5942062,DaveHansenTiger,7168,1,406550,2007-09-10T20:14:43Z
5942302,jacobbraeutigam,1260280,3,33278411,2015-08-11T21:12:22Z
5943183,andrewpmk,1679,2,33156177,2015-08-06T14:09:20Z
5943662,Iqhra,6371645,11,53941686,2017-11-20T07:44:01Z
5944004,ridixcr,2508151,4,46344664,2017-02-23T17:37:37Z
5945011,Zian Choy,296869,4,24247403,2014-07-20T03:33:29Z
5945399,DaveHansenTiger,7168,1,408346,2007-09-10T22:44:46Z
5946316,StellanL,28775,11,29267533,2015-03-05T14:10:46Z
5946918,NE2,207745,7,12838386,2012-08-23T21:24:19Z
5947628,DaveHansenTiger,7168,1,408346,2007-09-10T23:54:38Z
5948072,Zian Choy,296869,8,24214916,2014-07-18T07:22:43Z
5948425,DaveHansenTiger,7168,1,408346,2007-09-11T00:19:38Z
5948847,DaveHansenTiger,7168,1,408346,2007-09-11T00:32:59Z
5949154,DaveHansenTiger,7168,1,408346,2007-09-11T00:45:28Z
5949516,ediyes,1240849,5,33324276,2015-08-13T20:56:18Z
5950065,Sat,48060,2,4199201,2010-03-22T05:42:53Z
5950782,DaveHansenTiger,7168,1,408594,2007-09-11T01:35:27Z
5951201,ridixcr,2508151,7,46347315,2017-02-23T19:37:53Z
5951635,Zian Choy,296869,11,46513262,2017-03-02T05:49:44Z
5952400,Sat,48060,5,17391299,2013-08-18T05:05:06Z
5953370,Adler,339764,2,9170093,2011-08-30T18:51:00Z
5953839,Sat,48060,4,9681680,2011-10-29T05:36:42Z
5954008,Sat,48060,4,8107292,2011-05-10T22:00:23Z
5954410,Adler,339764,4,9169815,2011-08-30T18:21:05Z
5954634,Sat,48060,3,14208857,2012-12-09T05:26:08Z
5955007,DaveHansenTiger,7168,1,408594,2007-09-11T03:19:48Z
5955267,piligab,3877019,2,46685468,2017-03-08T16:42:10Z
5955557,andrewpmk,1679,3,31299480,2015-05-19T21:50:33Z
5955871,TheDutchMan13,1330847,3,49181586,2017-06-02T01:48:55Z
5955963,captain_slow,2110714,3,45465146,2017-01-25T07:24:23Z
5956067,TheDutchMan13,1330847,4,49181586,2017-06-02T01:49:00Z
5956227,TheDutchMan13,1330847,4,49181586,2017-06-02T01:49:03Z
5956331,TheDutchMan13,1330847,3,49174683,2017-06-01T19:25:30Z
5956435,TheDutchMan13,1330847,3,49181586,2017-06-02T01:49:08Z
5956562,TheDutchMan13,1330847,9,49174683,2017-06-01T19:25:35Z
5956679,TheDutchMan13,1330847,5,49181586,2017-06-02T01:49:14Z
5956856,TheDutchMan13,1330847,3,49174683,2017-06-01T19:25:41Z
5956960,TheDutchMan13,1330847,3,49181586,2017-06-02T01:49:20Z
5957096,TheDutchMan13,1330847,2,49181586,2017-06-02T01:49:23Z
5957288,TheDutchMan13,1330847,3,49181586,2017-06-02T01:49:27Z
5957388,TheDutchMan13,1330847,3,49174683,2017-06-01T19:25:50Z
5957449,TheDutchMan13,1330847,4,49174683,2017-06-01T19:25:51Z
5957563,TheDutchMan13,1330847,4,49174683,2017-06-01T19:25:53Z
5957722,TheDutchMan13,1330847,4,49174683,2017-06-01T19:25:57Z
5957823,TheDutchMan13,1330847,4,49181586,2017-06-02T01:49:39Z
5957906,TheDutchMan13,1330847,8,49174683,2017-06-01T19:26:00Z
5958010,TheDutchMan13,1330847,4,49174683,2017-06-01T19:26:02Z
5958077,TheDutchMan13,1330847,3,49181586,2017-06-02T01:49:46Z
5958172,TheDutchMan13,1330847,2,49174683,2017-06-01T19:26:07Z
5958295,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:09Z
5958471,TheDutchMan13,1330847,3,49181586,2017-06-02T01:49:54Z
5958612,TheDutchMan13,1330847,2,49174683,2017-06-01T19:26:16Z
5958660,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:18Z
5958735,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:20Z
5958848,TheDutchMan13,1330847,4,49181586,2017-06-02T01:50:02Z
5958928,TheDutchMan13,1330847,4,49174683,2017-06-01T19:26:24Z
5959060,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:27Z
5959154,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:29Z
5959195,TheDutchMan13,1330847,2,49174683,2017-06-01T19:26:31Z
5959315,TheDutchMan13,1330847,5,49174683,2017-06-01T19:26:34Z
5959445,TheDutchMan13,1330847,8,49174683,2017-06-01T19:26:37Z
5959550,biancah_telenav,4355402,4,55999438,2018-02-02T15:39:31Z
5959676,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:41Z
5959768,ma-rt-in,1431737,5,41862163,2016-09-02T06:27:36Z
5959929,TheDutchMan13,1330847,3,49174683,2017-06-01T19:26:46Z
5960092,TheDutchMan13,1330847,2,49174683,2017-06-01T19:26:49Z
5960166,TheDutchMan13,1330847,4,49174683,2017-06-01T19:26:51Z
5960340,TheDutchMan13,1330847,3,49181586,2017-06-02T01:50:33Z
5960388,TheDutchMan13,1330847,6,49174683,2017-06-01T19:26:55Z
5960539,TheDutchMan13,1330847,7,49174683,2017-06-01T19:26:56Z
5960628,TheDutchMan13,1330847,6,49174683,2017-06-01T19:27:00Z
5960749,TheDutchMan13,1330847,7,49181586,2017-06-02T01:50:43Z
5960910,TheDutchMan13,1330847,4,49181586,2017-06-02T01:50:45Z
5961028,TheDutchMan13,1330847,3,49174683,2017-06-01T19:27:08Z
5961122,TheDutchMan13,1330847,3,49181586,2017-06-02T01:50:51Z
5961265,TheDutchMan13,1330847,4,49174683,2017-06-01T19:27:14Z
5961403,TheDutchMan13,1330847,5,49174683,2017-06-01T19:27:16Z
5961541,TheDutchMan13,1330847,3,49181586,2017-06-02T01:51:00Z
5961663,TheDutchMan13,1330847,3,49181586,2017-06-02T01:51:02Z
5961839,TheDutchMan13,1330847,5,49181586,2017-06-02T01:51:04Z
5961936,TheDutchMan13,1330847,4,49174683,2017-06-01T19:27:23Z
5962064,TheDutchMan13,1330847,3,49181586,2017-06-02T01:51:08Z
5962101,TheDutchMan13,1330847,5,49174683,2017-06-01T19:27:27Z
5962224,TheDutchMan13,1330847,3,49174683,2017-06-01T19:27:30Z
5962331,TheDutchMan13,1330847,2,49174683,2017-06-01T19:27:33Z
5962544,TheDutchMan13,1330847,4,49174683,2017-06-01T19:27:38Z
5962753,TheDutchMan13,1330847,9,49181586,2017-06-02T01:51:24Z
5962822,TheDutchMan13,1330847,2,49174683,2017-06-01T19:27:43Z
5962968,TheDutchMan13,1330847,4,49174683,2017-06-01T19:27:45Z
5963056,TheDutchMan13,1330847,3,49174683,2017-06-01T19:27:48Z
5963142,Sat,48060,3,36475790,2016-01-10T06:02:26Z
5963212,TheDutchMan13,1330847,3,49181586,2017-06-02T01:51:34Z
5963422,TheDutchMan13,1330847,3,49174683,2017-06-01T19:27:55Z
5963494,TheDutchMan13,1330847,3,49174683,2017-06-01T19:27:57Z
5963581,TheDutchMan13,1330847,7,49174683,2017-06-01T19:27:59Z
5963661,TheDutchMan13,1330847,6,49174683,2017-06-01T19:28:01Z
5963774,TheDutchMan13,1330847,2,49174683,2017-06-01T19:28:04Z
5963967,TheDutchMan13,1330847,4,49181586,2017-06-02T01:51:48Z
5964148,TheDutchMan13,1330847,4,49181586,2017-06-02T01:51:51Z
5964324,TheDutchMan13,1330847,4,49181586,2017-06-02T01:51:53Z
5964558,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:10Z
5964763,TheDutchMan13,1330847,4,49181586,2017-06-02T01:51:56Z
5965246,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:14Z
5965741,TheDutchMan13,1330847,5,49174683,2017-06-01T19:28:17Z
5966181,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:19Z
5966396,Zian Choy,296869,19,26018530,2014-10-12T05:46:05Z
5966863,TheDutchMan13,1330847,3,49181586,2017-06-02T01:52:15Z
5966993,TheDutchMan13,1330847,2,49174683,2017-06-01T19:28:24Z
5967122,TheDutchMan13,1330847,4,49174683,2017-06-01T19:28:26Z
5967248,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:28Z
5967534,TheDutchMan13,1330847,2,49174683,2017-06-01T19:28:31Z
5967860,TheDutchMan13,1330847,4,49181586,2017-06-02T01:52:23Z
5968027,TheDutchMan13,1330847,2,49174683,2017-06-01T19:28:35Z
5968469,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:38Z
5968704,nianticgarbage,7131632,7,56566188,2018-02-22T01:09:02Z
5969048,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:43Z
5969193,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:46Z
5969458,TheDutchMan13,1330847,4,49174683,2017-06-01T19:28:48Z
5969812,TheDutchMan13,1330847,5,49174683,2017-06-01T19:28:51Z
5970103,TheDutchMan13,1330847,4,49181586,2017-06-02T01:52:44Z
5970261,TheDutchMan13,1330847,4,49181586,2017-06-02T01:52:45Z
5970478,TheDutchMan13,1330847,3,49174683,2017-06-01T19:28:59Z
5970656,TheDutchMan13,1330847,4,49174683,2017-06-01T19:29:02Z
5970860,TheDutchMan13,1330847,3,49174683,2017-06-01T19:29:04Z
5971324,TheDutchMan13,1330847,2,49181586,2017-06-02T01:52:55Z
5971440,nianticgarbage,7131632,9,56537942,2018-02-21T04:06:49Z
5971724,TheDutchMan13,1330847,4,49174683,2017-06-01T19:29:12Z
5971857,TheDutchMan13,1330847,2,49174683,2017-06-01T19:29:14Z
5972060,TheDutchMan13,1330847,4,49174683,2017-06-01T19:29:16Z
5972298,TheDutchMan13,1330847,4,49174683,2017-06-01T19:29:18Z
5972484,TheDutchMan13,1330847,3,49174683,2017-06-01T19:29:20Z
