id,node_id,position
5938667,48861002,0
5938667,48861003,1
5938667,48861004,2
5938667,48861005,3
5938667,48860926,4
5938667,48861008,5
5938667,48861009,6
5938667,48861010,7
5938667,48861011,8
5938667,48861012,9
5938667,48861015,10
5938667,4724340043,11
5938667,48861016,12
5938667,48861017,13
5938667,48861018,14
5938667,48861019,15
5938667,48861020,16
5938667,48861022,17
5938667,48861023,18
5938667,48861024,19
5938667,48861025,20
5938667,48861026,21
5938667,48861027,22
5938667,48861028,23
5938667,48861029,24
5938667,48861030,25
5938667,48861031,26
5938667,48861032,27
5938667,48861033,28
5938667,48861034,29
5938667,48861035,30
5938667,48861036,31
5938667,48861037,32
5938667,48861038,33
5938667,48861039,34
5938667,48861040,35
5938667,48861041,36
5938667,48861042,37
5938667,48861043,38
5938667,48861044,39
5938667,48861045,40
5939112,48867107,0
5939112,48867108,1
5939400,48871287,0
5939400,48871298,1
5939970,48879384,0
5939970,3259081323,1
5939970,275547575,2
5939970,275547576,3
5939970,275547577,4
5939970,275547578,5
5939970,275547579,6
5939970,275547580,7
5939970,4343148994,8
5940219,48863838,0
5940219,48882762,1
5940219,48882764,2
5940219,48882765,3
5940219,48882766,4
5940219,48882768,5
5940219,48882769,6
5940219,48882771,7
5940219,48882772,8
5940219,48882774,9
5940219,48882776,10
5940219,48882777,11
5940219,48882778,12
5940219,48882780,13
5940219,48882781,14
5940219,48882783,15
5940550,48886740,0
5940550,48886742,1
5940550,48886743,2
5940550,48886744,3
5940956,3637920384,0
5940956,48892559,1
5940956,48892560,2
5940956,48892562,3
5940956,1199527393,4
5940956,1199527391,5
5940956,1199527390,6
5940956,49501977,7
5940956,1199527392,8
5940956,1190447079,9
5941680,48899387,0
5941680,48899388,1
5941680,48899389,2
5941680,48899390,3
5941680,48899392,4
5941680,5390733096,5
5941680,5390733113,6
5941680,469555036,7
5942062,48903267,0
5942062,48888306,1
5942302,3692312175,0
5942302,3692312176,1
5942302,3692312190,2
5942302,3692312186,3
5942302,3692312175,4
5942302,48906362,5
5943183,48916255,0
5943183,48916256,1
5943662,48893554,0
5943662,48922519,1
5943662,48922520,2
5943662,48922521,3
5943662,48922525,4
5943662,48922528,5
5943662,48922529,6
5943662,48922532,7
5943662,48922533,8
5943662,48922534,9
5943662,48922535,10
5943662,48922536,11
5943662,48922537,12
5943662,49197850,13
5944004,1418358709,0
5944004,48926214,1
5944004,4701865699,2
5944004,48926215,3
5945011,415459946,0
5945011,48934432,1
5945011,48934430,2
5945011,48934429,3
5945011,48934428,4
5945011,48934427,5
5945011,48934426,6
5945011,48934425,7
5945011,48934424,8
5945011,48934423,9
5945011,48934422,10
5945399,48937406,0
5945399,48937407,1
5946316,48945393,0
5946316,3384330199,1
5946316,3384329387,2
5946316,3384330193,3
5946316,3384329389,4
5946316,3384330195,5
5946316,287323600,6
5946316,3384330196,7
5946316,3384329388,8
5946316,48945395,9
5946316,48945396,10
5946316,1199494005,11
5946316,3384329390,12
5946316,1199494007,13
5946316,3384329392,14
5946316,3384330194,15
5946316,1199494095,16
5946316,3384329382,17
5946316,1199494070,18
5946316,3384329380,19
5946316,1199494036,20
5946316,1199494138,21
5946316,1199494124,22
5946316,1199494147,23
5946316,1199494047,24
5946316,1199494149,25
5946316,1199493973,26
5946316,1199494125,27
5946316,1199494119,28
5946918,48951324,0
5946918,48951323,1
5946918,1180441193,2
5946918,1180441082,3
5946918,48951322,4
5946918,48951321,5
5946918,48951320,6
5946918,48951319,7
5946918,1180440672,8
5946918,48951318,9
5946918,1180440551,10
5946918,48951317,11
5946918,1180440772,12
5946918,1180441006,13
5946918,1180440890,14
5946918,1180440906,15
5947628,48888303,0
5947628,48958365,1
5947628,48958366,2
5947628,48958367,3
5947628,48888302,4
5948072,48964002,0
5948072,48964003,1
5948072,48929119,2
5948425,48968665,0
5948425,48968666,1
5948425,48968667,2
5948847,48973106,0
5948847,48973107,1
5948847,48973108,2
5948847,48973109,3
5948847,48973110,4
5948847,48973111,5
5948847,48973113,6
5949154,48976800,0
5949154,48976801,1
5949516,49616720,0
5949516,3695993930,1
5949516,1337473916,2
5949516,1337473936,3
5949516,48981150,4
5949516,48981148,5
5950065,48987804,0
5950065,48987805,1
5950065,48987807,2
5950065,48987808,3
5950065,48987810,4
5950065,671870021,5
5950065,48987813,6
5950065,48987815,7
5950065,48987816,8
5950065,48987817,9
5950065,48987818,10
5950065,48987820,11
5950065,48987821,12
5950065,48987822,13
5950065,48987824,14
5950065,48987826,15
5950065,48987827,16
5950065,48987828,17
5950065,48987829,18
5950065,48987831,19
5950065,48987832,20
5950065,48974407,21
5950065,48987833,22
5950065,48974342,23
5950065,48987834,24
5950782,48996375,0
5950782,48996376,1
5950782,48996378,2
5950782,48996379,3
5950782,48996380,4
5950782,48996381,5
5951201,474949814,0
5951201,1354473130,1
5951201,49002600,2
5951201,4702073764,3
5951201,49002601,4
5951635,4343004752,0
5951635,282484629,1
5951635,49007630,2
5951635,4343004753,3
5952400,1190394729,0
5952400,2422429090,1
5952400,1190394756,2
5952400,1190394744,3
5952400,49015521,4
5952400,49015522,5
5952400,49015524,6
5952400,49015525,7
5952400,49015527,8
5952400,691152671,9
5952400,49015528,10
5952400,49015529,11
5952400,691152677,12
5952400,691152678,13
5952400,691152679,14
5953370,49026107,0
5953370,49026109,1
5953839,49030849,0
5953839,1484501925,1
5953839,49030850,2
5953839,49030851,3
5953839,49030852,4
5953839,49030853,5
5953839,49030854,6
5953839,823393749,7
5953839,823393759,8
5953839,49030855,9
5954008,654812961,0
5954008,654812963,1
5954008,654812965,2
5954008,654812968,3
5954008,654812971,4
5954008,49032737,5
5954008,49032738,6
5954008,49032739,7
5954008,49032740,8
5954008,49032741,9
5954008,49032743,10
5954008,49032744,11
5954008,49032745,12
5954008,654812990,13
5954008,49032746,14
5954410,48898918,0
5954410,49036321,1
5954410,49036322,2
5954410,49036323,3
5954410,49036324,4
5954410,49036325,5
5954410,49036326,6
5954410,49036327,7
5954410,49036328,8
5954410,49036329,9
5954410,49036330,10
5954410,49036331,11
5954410,48896398,12
5954634,49038524,0
5954634,49038530,1
5954634,49038531,2
5954634,49038532,3
5954634,49038533,4
5954634,49038534,5
5954634,49038535,6
5954634,49038536,7
5954634,2057198616,8
5954634,49038537,9
5955007,48968766,0
5955007,48956913,1
5955007,49041040,2
5955007,49041042,3
5955267,48861019,0
